,community,2010,2011,2012
0,1,40414,40024,37779
1,2,46746,47684,47941
2,3,44765,45109,44229
3,4,61978,61900,62076
4,5,87986,87624,90279
5,6,74172,74252,75730
6,7,89273,87216,87694
7,8,82118,81572,82169
8,9,83953,80234,79342
9,10,70642,69306,70578
10,11,61137,61322,62021
11,12,92226,85317,84347
12,13,55474,59511,52283
13,14,49224,50891,52666
14,15,55127,54056,54773
15,16,52587,48728,48758
16,17,63054,61276,60945
17,18,44196,44262,41387
18,19,43486,43051,43103
19,20,42383,38954,37327
20,21,47673,45424,44388
21,22,54297,54557,56115
22,23,30670,31010,32303
23,24,69692,69146,69962
24,25,32706,32254,31289
25,26,25178,25525,25362
26,27,25871,25580,22103
27,28,68693,67802,70307
28,29,23905,23220,23107
29,30,33661,31863,31229
30,31,37211,36194,35103
31,32,80586,86003,88756
32,33,73770,74703,74175
33,34,22172,24294,23590
34,35,34114,33992,32389
35,36,21964,21465,24815
36,37,15999,16611,16569
37,38,31074,30624,30347
38,39,39308,37523,39593
39,40,23396,19487,22059
40,41,49359,48531,48643
41,42,27623,25642,26452
42,43,31180,28849,26865
43,44,31444,32321,33849
44,45,46803,46569,44574
45,46,31441,30196,29452
46,47,27010,18641,25430
47,48,56854,56164,52393
48,49,38994,37928,37957
49,50,44132,41407,38175
50,51,33131,31865,33496
51,52,43751,43797,43629
52,53,40997,36235,34031
53,54,14341,14508,14579
54,55,46539,48795,49907
55,56,62383,63413,61669
56,57,43793,44332,42055
57,58,38584,36960,35667
58,59,42674,42183,42371
59,60,45749,43154,41707
60,61,33953,32700,30716
61,62,47888,46700,44876
62,63,39299,37759,37773
63,64,57844,58312,60222
64,65,49071,48301,48793
65,66,35480,34405,32601
66,67,27097,26700,26858
67,68,19494,19293,18744
68,69,30058,28128,25950
69,70,69158,67497,65200
70,71,31771,29523,29999
71,72,88175,90982,91239
72,73,42527,41039,40553
73,74,89240,87382,87851
74,75,63042,64024,61223
75,76,46633,44771,43259
76,77,43844,44960,44429
