,station_id,stationname,date,daytype,rides
84,40890,O'Hare Airport,2001-01-01,U,6383
135,41450,Chicago/State,2001-01-01,U,4395
51794,40890,O'Hare Airport,2002-01-01,U,5980
51845,41450,Chicago/State,2002-01-01,U,4685
103624,40890,O'Hare Airport,2003-01-01,U,6557
103675,41450,Chicago/State,2003-01-01,U,6473
155401,40330,Grand/State,2004-01-01,U,8346
155454,40890,O'Hare Airport,2004-01-01,U,5763
207373,40330,Grand/State,2005-01-01,U,10255
207477,41450,Chicago/State,2005-01-01,U,8767
259203,40330,Grand/State,2006-01-01,U,10907
259307,41450,Chicago/State,2006-01-01,U,10097
311033,40330,Grand/State,2007-01-01,U,11432
311137,41450,Chicago/State,2007-01-01,U,8173
362916,40890,O'Hare Airport,2008-01-01,U,6439
362863,40330,Grand/State,2008-01-01,U,6001
414936,41420,Addison-North Main,2009-01-01,U,13672
414939,41450,Chicago/State,2009-01-01,U,8646
466434,41450,Chicago/State,2010-01-01,U,7863
466331,40330,Grand/State,2010-01-01,U,7662
517899,41450,Chicago/State,2011-01-01,U,10498
517796,40330,Grand/State,2011-01-01,U,10148
570809,40330,Grand/State,2012-01-01,U,11659
574002,41450,Chicago/State,2012-01-01,U,9601
622935,40330,Grand/State,2013-01-01,U,11108
626128,41450,Chicago/State,2013-01-01,U,9721
674860,40330,Grand/State,2014-01-01,U,12472
678053,41450,Chicago/State,2014-01-01,U,9663
727055,40330,Grand/State,2015-01-01,U,12152
730248,41450,Chicago/State,2015-01-01,U,9455
779615,40330,Grand/State,2016-01-01,U,13512
782808,41450,Chicago/State,2016-01-01,U,10781
177,40380,Clark/Lake,2001-01-02,W,13263
281,41660,Lake/State,2001-01-02,W,12087
51888,40380,Clark/Lake,2002-01-02,W,13273
51992,41660,Lake/State,2002-01-02,W,11503
103718,40380,Clark/Lake,2003-01-02,W,12543
103817,41450,Chicago/State,2003-01-02,W,12088
155647,41450,Chicago/State,2004-01-02,W,12728
155554,40450,95th/Dan Ryan,2004-01-02,W,10446
207568,40890,O'Hare Airport,2005-01-02,U,8021
207619,41450,Chicago/State,2005-01-02,U,6094
259398,40890,O'Hare Airport,2006-01-02,U,8207
259449,41450,Chicago/State,2006-01-02,U,7125
311180,40380,Clark/Lake,2007-01-02,W,11370
311284,41660,Lake/State,2007-01-02,W,10442
363010,40380,Clark/Lake,2008-01-02,W,14433
363114,41660,Lake/State,2008-01-02,W,11224
415081,41450,Chicago/State,2009-01-02,W,12118
414982,40380,Clark/Lake,2009-01-02,W,11457
466575,41450,Chicago/State,2010-01-02,A,8993
466580,41660,Lake/State,2010-01-02,A,7090
517989,40890,O'Hare Airport,2011-01-02,U,8536
518040,41450,Chicago/State,2011-01-02,U,7114
574003,41450,Chicago/State,2012-01-02,U,9475
572422,40890,O'Hare Airport,2012-01-02,U,9111
623091,40380,Clark/Lake,2013-01-02,W,16157
626315,41660,Lake/State,2013-01-02,W,14977
678240,41660,Lake/State,2014-01-02,W,16408
675016,40380,Clark/Lake,2014-01-02,W,16130
730435,41660,Lake/State,2015-01-02,W,15603
730249,41450,Chicago/State,2015-01-02,W,14111
782809,41450,Chicago/State,2016-01-02,A,11515
782995,41660,Lake/State,2016-01-02,A,10650
318,40380,Clark/Lake,2001-01-03,W,14416
324,40450,95th/Dan Ryan,2001-01-03,W,12824
52030,40380,Clark/Lake,2002-01-03,W,14120
52134,41660,Lake/State,2002-01-03,W,12562
103959,41450,Chicago/State,2003-01-03,W,13453
103860,40380,Clark/Lake,2003-01-03,W,13249
155789,41450,Chicago/State,2004-01-03,A,9224
155696,40450,95th/Dan Ryan,2004-01-03,A,6895
207662,40380,Clark/Lake,2005-01-03,W,12951
207668,40450,95th/Dan Ryan,2005-01-03,W,12690
259492,40380,Clark/Lake,2006-01-03,W,15167
259591,41450,Chicago/State,2006-01-03,W,12505
311322,40380,Clark/Lake,2007-01-03,W,15730
311426,41660,Lake/State,2007-01-03,W,13955
363152,40380,Clark/Lake,2008-01-03,W,15454
363256,41660,Lake/State,2008-01-03,W,11928
415223,41450,Chicago/State,2009-01-03,A,9061
415212,41320,Belmont-North Main,2009-01-03,A,7703
466665,40890,O'Hare Airport,2010-01-03,U,7644
466716,41450,Chicago/State,2010-01-03,U,5893
518083,40380,Clark/Lake,2011-01-03,W,15104
518186,41660,Lake/State,2011-01-03,W,14703
570966,40380,Clark/Lake,2012-01-03,W,16962
574159,41660,Lake/State,2012-01-03,W,15503
623092,40380,Clark/Lake,2013-01-03,W,17352
626316,41660,Lake/State,2013-01-03,W,15781
675017,40380,Clark/Lake,2014-01-03,W,16946
678241,41660,Lake/State,2014-01-03,W,16885
730250,41450,Chicago/State,2015-01-03,A,10361
730436,41660,Lake/State,2015-01-03,A,9308
781229,40890,O'Hare Airport,2016-01-03,U,9658
782655,41400,Roosevelt,2016-01-03,U,8845
459,40380,Clark/Lake,2001-01-04,W,15118
