,community,date,rides
0,1.0,2012,5790445
1,1.0,2013,5932994
2,1.0,2014,6098584
3,1.0,2015,6248372
4,1.0,2016,4926312
5,3.0,2012,3950313
6,3.0,2013,4075688
7,3.0,2014,4201030
8,3.0,2015,4158320
9,3.0,2016,3434497
10,4.0,2012,8775719
11,4.0,2013,8729659
12,4.0,2014,8903843
13,4.0,2015,8860456
14,4.0,2016,7503595
15,5.0,2012,1667553
16,5.0,2013,1729190
17,5.0,2014,1756194
18,5.0,2015,1698685
19,5.0,2016,1478409
20,6.0,2012,11977282
21,6.0,2013,11943268
22,6.0,2014,11978445
23,6.0,2015,12048170
24,6.0,2016,10488035
25,7.0,2012,7489740
26,7.0,2013,7452843
27,7.0,2014,7273989
28,7.0,2015,7201663
29,7.0,2016,6182762
30,8.0,2012,8970440
31,8.0,2013,9015364
32,8.0,2014,9565897
33,8.0,2015,9640677
34,8.0,2016,8200398
35,10.0,2012,2359730
36,10.0,2013,2353990
37,10.0,2014,2319033
38,10.0,2015,2402706
39,10.0,2016,1967884
40,11.0,2012,2073406
41,11.0,2013,2106782
42,11.0,2014,2136019
43,11.0,2015,2173168
44,11.0,2016,1836030
45,14.0,2012,3130752
46,14.0,2013,3185770
47,14.0,2014,3249167
48,14.0,2015,3213305
49,14.0,2016,2686745
50,16.0,2012,850504
51,16.0,2013,879905
52,16.0,2014,876226
53,16.0,2015,949756
54,16.0,2016,722653
55,21.0,2012,1666681
56,21.0,2013,1712665
57,21.0,2014,1692059
58,21.0,2015,1777563
59,21.0,2016,1513473
60,22.0,2012,5137317
61,22.0,2013,5337427
62,22.0,2014,5527633
63,22.0,2015,5609199
64,22.0,2016,4695495
65,24.0,2012,5913788
66,24.0,2013,6214447
67,24.0,2014,6036157
68,24.0,2015,6463059
69,24.0,2016,5359167
70,25.0,2012,1394704
71,25.0,2013,1356838
72,25.0,2014,1459790
73,25.0,2015,1435538
74,25.0,2016,1135923
75,26.0,2012,1451634
76,26.0,2013,1393213
77,26.0,2014,1427754
78,26.0,2015,1375056
79,26.0,2016,1066234
80,27.0,2012,1842551
81,27.0,2013,1857775
82,27.0,2014,1942993
83,27.0,2015,2002896
84,27.0,2016,1587368
85,28.0,2012,6599552
86,28.0,2013,6919387
87,28.0,2014,7073018
88,28.0,2015,7222137
89,28.0,2016,5991420
90,29.0,2012,1140486
91,29.0,2013,1141150
92,29.0,2014,1192924
93,29.0,2015,1216384
94,29.0,2016,935353
95,30.0,2012,452047
96,30.0,2013,454842
97,30.0,2014,468229
98,30.0,2015,520389
99,30.0,2016,421662
100,31.0,2012,2278455
101,31.0,2013,2396076
102,31.0,2014,2428927
103,31.0,2015,2446006
104,31.0,2016,1987004
105,32.0,2012,49335026
106,32.0,2013,49276679
107,32.0,2014,50842365
108,32.0,2015,52345454
109,32.0,2016,44123395
110,33.0,2012,5423320
111,33.0,2013,4815884
112,33.0,2014,5509369
113,33.0,2015,5754623
114,33.0,2016,4907961
115,34.0,2012,1740657
116,34.0,2013,788964
117,34.0,2014,1646368
118,34.0,2015,1712730
119,34.0,2016,1440847
120,35.0,2012,1144631
121,35.0,2013,1796229
122,35.0,2014,1162059
123,35.0,2015,1108988
124,35.0,2016,828309
125,36.0,2012,538954
126,36.0,2013,545572
127,36.0,2014,556353
128,36.0,2015,553524
129,36.0,2016,466777
130,37.0,2012,2326464
131,37.0,2013,1162123
132,37.0,2014,2253736
133,37.0,2015,2344854
134,37.0,2016,1882787
135,38.0,2012,628911
136,38.0,2013,783437
137,38.0,2014,677781
138,38.0,2015,651419
139,38.0,2016,511608
140,40.0,2012,796707
141,40.0,2013,2707046
142,40.0,2014,846277
143,40.0,2015,836409
144,40.0,2016,646598
145,42.0,2012,632397
146,42.0,2013,856425
147,42.0,2014,652663
148,42.0,2015,626527
149,42.0,2016,477451
150,44.0,2012,4067325
151,44.0,2013,2014088
152,44.0,2014,3925038
153,44.0,2015,4024327
154,44.0,2016,3162198
155,49.0,2012,3982594
156,49.0,2013,1996862
157,49.0,2014,3669599
158,49.0,2015,3676215
159,49.0,2016,2919245
160,56.0,2012,2833465
161,56.0,2013,2783646
162,56.0,2014,2804973
163,56.0,2015,2845857
164,56.0,2016,2368538
165,57.0,2012,1573557
166,57.0,2013,1533225
167,57.0,2014,1540633
168,57.0,2015,1592814
169,57.0,2016,1328820
170,58.0,2012,1105701
171,58.0,2013,1154837
172,58.0,2014,1293781
173,58.0,2015,1334995
174,58.0,2016,1012308
175,59.0,2012,911848
176,59.0,2013,936192
177,59.0,2014,936665
178,59.0,2015,983098
179,59.0,2016,829883
180,63.0,2012,1021228
181,63.0,2013,1044429
182,63.0,2014,935506
183,63.0,2015,933748
184,63.0,2016,896730
185,68.0,2012,1917382
186,68.0,2013,1789219
187,68.0,2014,1876950
188,68.0,2015,1725934
189,68.0,2016,1379744
190,69.0,2012,1880862
191,69.0,2013,932660
192,69.0,2014,1800001
193,69.0,2015,1870456
194,69.0,2016,1495012
195,76.0,2012,3532031
196,76.0,2013,3483124
197,76.0,2014,3516496
198,76.0,2015,4053704
199,76.0,2016,3372626
200,77.0,2012,4627329
201,77.0,2013,4944981
202,77.0,2014,5197791
203,77.0,2015,5203372
204,77.0,2016,4315364
