,community,cta
0,0,0
1,1,1
2,2,0
3,3,1
4,4,1
5,5,1
6,6,1
7,7,1
8,8,1
9,9,0
10,10,1
11,11,1
12,12,0
13,13,0
14,14,1
15,15,0
16,16,1
17,17,0
18,18,0
19,19,0
20,20,0
21,21,1
22,22,1
23,23,0
24,24,1
25,25,1
26,26,1
27,27,1
28,28,1
29,29,1
30,30,1
31,31,1
32,32,1
33,33,1
34,34,1
35,35,1
36,36,1
37,37,1
38,38,1
39,39,0
40,40,1
41,41,0
42,42,1
43,43,0
44,44,1
45,45,0
46,46,0
47,47,0
48,48,0
49,49,1
50,50,0
51,51,0
52,52,0
53,53,0
54,54,0
55,55,0
56,56,1
57,57,1
58,58,1
59,59,1
60,60,0
61,61,0
62,62,0
63,63,1
64,64,0
65,65,0
66,66,0
67,67,0
68,68,1
69,69,1
70,70,0
71,71,0
72,72,0
73,73,0
74,74,0
75,75,0
76,76,1
77,77,1
