date,community,value
2012,1,164770
2012,2,150479
2012,3,212354
2012,4,289125
2012,5,486052
2012,6,420458
2012,7,420472
2012,8,367927
2012,9,303270
2012,10,273333
2012,11,253187
2012,12,419270
2012,13,274395
2012,14,225825
2012,15,252666
2012,16,287437
2012,17,222833
2012,18,193645
2012,19,189750
2012,20,187000
2012,21,290145
2012,22,353062
2012,23,124145
2012,24,414687
2012,25,163270
2012,26,97562
2012,27,95458
2012,28,256729
2012,29,67458
2012,30,72450
2012,31,216604
2012,32,288519
2012,33,365375
2012,34,255916
2012,35,108820
2012,36,269437
2012,37,135857
2012,38,110812
2012,39,216354
2012,40,59375
2012,41,198729
2012,42,81979
2012,43,80500
2012,44,124583
2012,45,118141
2012,46,108750
2012,47,98520
2012,48,143729
2012,49,103166
2012,50,93770
2012,51,44479
2012,52,82395
2012,53,76770
2012,54,58500
2012,55,103145
2012,56,188375
2012,57,165062
2012,58,137875
2012,59,159791
2012,60,299687
2012,61,138677
2012,62,153708
2012,63,109833
2012,64,162458
2012,65,149208
2012,66,85166
2012,67,40166
2012,68,47375
2012,69,116250
2012,70,149093
2012,71,120708
2012,72,287520
2012,73,138083
2012,74,194958
2012,75,163416
2012,76,117291
2012,77,196166
2013,1,168104
2013,2,156000
2013,3,228500
2013,4,272416
2013,5,511739
2013,6,431479
2013,7,422701
2013,8,384916
2013,9,296750
2013,10,290625
2013,11,266000
2013,12,434427
2013,13,323770
2013,14,244020
2013,15,266083
2013,16,282437
2013,17,232500
2013,18,200229
2013,19,220166
2013,20,211104
2013,21,308520
2013,22,386979
2013,23,137637
2013,24,436604
2013,25,167135
2013,26,71194
2013,27,127125
2013,28,283770
2013,29,96229
2013,30,83562
2013,31,223916
2013,32,291250
2013,33,358020
2013,34,269375
2013,35,137687
2013,36,241625
2013,37,48104
2013,38,172083
2013,39,214708
2013,40,84479
2013,41,189583
2013,42,89789
2013,43,91583
2013,44,130000
2013,45,166375
2013,46,137458
2013,47,132583
2013,48,154729
2013,49,85250
2013,50,87500
2013,51,67926
2013,52,93333
2013,53,71187
2013,54,58500
2013,55,114125
2013,56,204104
2013,57,172375
2013,58,150291
2013,59,204229
2013,60,330645
2013,61,138634
2013,62,164708
2013,63,120050
2013,64,190100
2013,65,169250
2013,66,116791
2013,67,30912
2013,68,64400
2013,69,108250
2013,70,170625
2013,71,129500
2013,72,281166
2013,73,140125
2013,74,205854
2013,75,165187
2013,76,117958
2013,77,192041
2014,1,63437
2014,2,69687
2014,3,160875
2014,4,139041
2014,5,463635
2014,6,380104
2014,7,381881
2014,8,304281
2014,9,226895
2014,10,212312
2014,11,180375
2014,12,363937
2014,13,195020
2014,14,113562
2014,15,162291
2014,16,187479
2014,17,152479
2014,18,137187
2014,19,129489
2014,20,111104
2014,21,172083
2014,22,281322
2014,23,67458
2014,24,338229
2014,25,94395
2014,26,34072
2014,27,63604
2014,28,198878
2014,29,47291
2014,30,49291
2014,31,133458
2014,32,214166
2014,33,281833
2014,34,266250
2014,35,80758
2014,36,167416
2014,37,41520
2014,38,75250
2014,39,169437
2014,40,33687
2014,41,175645
2014,42,86979
2014,43,60708
2014,44,102583
2014,45,100666
2014,46,66437
2014,47,479145
2014,48,96250
2014,49,75687
2014,50,64895
2014,51,34062
2014,52,67062
2014,53,64645
2014,54,52500
2014,55,86541
2014,56,141458
2014,57,118645
2014,58,70312
2014,59,149375
2014,60,258666
2014,61,103135
2014,62,110833
2014,63,67583
2014,64,116937
2014,65,120354
2014,66,53541
2014,67,34104
2014,68,44041
2014,69,88062
2014,70,109604
2014,71,80812
2014,72,231125
2014,73,107583
2014,74,171208
2014,75,112666
2014,76,67583
2014,77,131358
2015,1,93104
2015,2,80641
2015,3,189979
2015,4,204458
2015,5,489687
2015,6,408187
2015,7,370979
2015,8,328072
2015,9,285208
2015,10,234104
2015,11,193583
2015,12,392364
2015,13,217458
2015,14,168145
2015,15,200270
2015,16,216666
2015,17,166937
2015,18,140500
2015,19,137349
2015,20,117879
2015,21,212729
2015,22,325166
2015,23,71992
2015,24,371569
2015,25,102000
2015,26,55708
2015,27,61916
2015,28,194508
2015,29,54166
2015,30,47833
2015,31,160520
2015,32,256854
2015,33,348125
2015,34,283875
2015,35,78454
2015,36,130854
2015,37,92416
2015,38,102916
2015,39,129808
2015,40,35837
2015,41,202208
2015,42,90354
2015,43,47312
2015,44,106541
2015,45,97041
2015,46,87616
2015,47,53083
2015,48,90229
2015,49,45274
2015,50,81541
2015,51,39406
2015,52,76241
2015,53,67208
2015,54,79000
2015,55,75258
2015,56,157020
2015,57,127791
2015,58,82854
2015,59,186291
2015,60,270395
2015,61,95270
2015,62,115145
2015,63,72575
2015,64,132687
2015,65,123287
2015,66,60979
2015,67,39483
2015,68,53208
2015,69,66066
2015,70,111862
2015,71,99491
2015,72,248770
2015,73,97104
2015,74,175854
2015,75,135225
2015,76,72625
2015,77,151083
