index,date,community,score
0,2012,1,41
1,2012,2,58
2,2012,3,54
3,2012,4,50
4,2012,5,70
5,2012,6,58
6,2012,7,59
7,2012,8,61
8,2012,9,70
9,2012,10,61
10,2012,11,57
11,2012,12,73
12,2012,13,67
13,2012,14,55
14,2012,15,45
15,2012,16,49
16,2012,17,55
17,2012,18,50
18,2012,19,42
19,2012,20,47
20,2012,21,49
21,2012,22,45
22,2012,23,40
23,2012,24,55
24,2012,25,47
25,2012,27,54
26,2012,28,52
27,2012,29,56
28,2012,30,50
29,2012,31,49
30,2012,32,63
31,2012,33,63
32,2012,34,55
33,2012,35,55
34,2012,36,37
35,2012,37,42
36,2012,38,46
37,2012,39,44
38,2012,40,29
39,2012,41,43
40,2012,42,43
41,2012,43,41
42,2012,44,48
43,2012,45,30
44,2012,46,36
45,2012,47,50
46,2012,48,55
47,2012,49,41
48,2012,50,45
49,2012,51,45
50,2012,52,41
51,2012,53,46
52,2012,54,35
53,2012,55,47
54,2012,56,45
55,2012,57,40
56,2012,58,49
57,2012,59,62
58,2012,60,47
59,2012,61,42
60,2012,62,40
61,2012,63,47
62,2012,64,64
63,2012,65,49
64,2012,66,35
65,2012,68,42
66,2012,69,43
67,2012,70,42
68,2012,71,40
69,2012,72,53
70,2012,73,42
71,2012,74,66
72,2012,75,49
73,2012,76,16
74,2012,77,54
75,2012,26,54
76,2012,67,42
77,2013,1,51
78,2013,2,73
79,2013,3,55
80,2013,4,63
81,2013,5,68
82,2013,6,76
83,2013,7,70
84,2013,8,62
85,2013,9,86
86,2013,10,73
87,2013,11,73
88,2013,12,86
89,2013,13,76
90,2013,14,57
91,2013,15,55
92,2013,16,55
93,2013,17,63
94,2013,18,44
95,2013,19,48
96,2013,20,48
97,2013,21,47
98,2013,22,53
99,2013,23,45
100,2013,24,61
101,2013,25,55
102,2013,27,52
103,2013,28,61
104,2013,29,44
105,2013,30,45
106,2013,31,48
107,2013,32,67
108,2013,33,58
109,2013,34,66
110,2013,35,32
111,2013,36,12
112,2013,37,49
113,2013,38,35
114,2013,39,44
115,2013,40,32
116,2013,41,48
117,2013,42,28
118,2013,43,43
119,2013,44,46
120,2013,45,41
121,2013,46,32
122,2013,47,41
123,2013,48,50
124,2013,49,49
125,2013,50,55
126,2013,51,58
127,2013,52,47
128,2013,53,42
129,2013,54,37
130,2013,55,55
131,2013,56,54
132,2013,57,50
133,2013,58,63
134,2013,59,72
135,2013,60,54
136,2013,61,43
137,2013,62,54
138,2013,63,58
139,2013,64,69
140,2013,65,64
