community,date,crime_freq,income,score,value,cta,interaction
1,2012,3914.254190090714,37779,41,164770,1,1548939
1,2013,3533.3532914721645,36461,51,168104,1,1859511
1,2014,3137.9739426055266,35144,54,63437,1,1897776
1,2015,3137.285814226157,33826,53,93104,1,1792778
1,2016,3461.2547900400145,32509,51,123250,1,1657959
2,2012,2796.740437379495,47941,58,150479,0,2780578
2,2013,2538.954152105255,48538,73,156000,0,3543274
2,2014,2235.4673624564775,49136,64,69687,0,3144704
2,2015,1925.3016609758747,49733,66,80641,0,3282378
2,2016,2126.7689126507307,50331,68,125979,0,3422508
3,2012,4240.389482231999,44229,54,212354,1,2388366
3,2013,3602.968713391438,43961,55,228500,1,2417855
3,2014,2955.891591133373,43693,65,160875,1,2840045
3,2015,3066.2813284692766,43425,61,189979,1,2648925
3,2016,3423.7232125360383,43157,57,209083,1,2459949
4,2012,3300.690286094409,62076,50,289125,1,3103800
4,2013,2997.2055930279744,62125,63,272416,1,3913875
4,2014,2290.4064537140202,62174,71,139041,1,4414354
4,2015,2213.652662201495,62223,65,204458,1,4044495
4,2016,2505.185981934151,62272,60,225520,1,3736320
5,2012,3760.035654428171,90279,70,486052,1,6319530
5,2013,3355.451903096837,91425,68,511739,1,6216900
5,2014,2705.9436586116544,92572,66,463635,1,6109752
5,2015,2486.4220010674107,93718,70,489687,1,6560260
5,2016,2398.7290503670347,94865,74,485906,1,7020010
6,2012,4968.27474432077,75730,58,420458,1,4392340
6,2013,4254.334720316228,76509,76,431479,1,5814684
6,2014,3440.975746482702,77288,70,380104,1,5410160
6,2015,3398.004110745696,78067,72,408187,1,5620824
6,2016,3564.346334589224,78846,73,418354,1,5755758
7,2012,5301.583139810921,87694,59,420472,1,5173946
7,2013,4541.423905780905,86904,70,422701,1,6083280
7,2014,4052.5092762642157,86115,75,381881,1,6458625
7,2015,3624.207204674017,85325,75,370979,1,6399375
7,2016,4158.228322832384,84536,75,400826,1,6340200
8,2012,8144.494053789208,82169,61,367927,1,5012309
8,2013,7187.2142478371,82194,62,384916,1,5096028
8,2014,6050.037580846184,82220,62,304281,1,5097640
8,2015,6230.9877194746605,82245,65,328072,1,5345925
8,2016,7385.312583003122,82271,67,355875,1,5512157
9,2012,1074.056173137855,79342,70,303270,0,5553940
9,2013,985.1863793504925,77036,86,296750,0,6625096
9,2014,797.6196877632586,74731,73,226895,0,5455363
9,2015,816.0703075957293,72425,73,285208,0,5287025
9,2016,1193.488756079613,70120,73,290875,0,5118760
10,2012,1881.074868948149,70578,61,273333,1,4305258
10,2013,1506.9564367404005,70546,73,290625,1,5149858
10,2014,1468.8042301561838,70514,71,212312,1,5006494
10,2015,1517.7111716621112,70482,73,234104,1,5145186
10,2016,1618.6529968281873,70450,75,280562,1,5283750
11,2012,2712.313429893824,62021,57,253187,1,3535197
11,2013,2460.048885080578,62463,73,266000,1,4559799
11,2014,2325.61818728345,62905,66,180375,1,4151730
11,2015,2036.2483906110683,63347,72,193583,1,4560984
11,2016,2075.281531978405,63789,79,234270,1,5039331
12,2012,1824.8764574787713,84347,73,419270,0,6157331
12,2013,1354.045210065071,80407,86,434427,0,6915002
12,2014,1174.5650355051234,76468,81,363937,0,6193908
12,2015,1204.5290291495987,72528,79,392364,0,5729712
12,2016,1592.4077418803329,68589,77,402520,0,5281353
13,2012,3519.624573378897,52283,67,274395,0,3502961
13,2013,2911.6754242204274,50687,76,323770,0,3852212
13,2014,2808.258653617972,49092,70,195020,0,3436440
13,2015,2511.4090535446007,47496,72,217458,0,3419712
13,2016,2934.953245512245,45901,75,225500,0,3442575
14,2012,2865.6939470660936,52666,55,225825,1,2896630
14,2013,2560.950830951115,54387,57,244020,1,3100059
14,2014,2183.4416907007826,56108,54,113562,1,3029832
14,2015,2450.217075208044,57829,54,168145,1,3122766
14,2016,2548.345455381001,59550,55,194458,1,3275250
15,2012,3365.6435110394,54773,45,252666,0,2464785
15,2013,2923.499667499046,54596,55,266083,0,3002780
15,2014,2407.3817994393426,54419,52,162291,0,2829788
15,2015,2474.966937464581,54242,55,200270,0,2983310
15,2016,2407.1526822559217,54065,59,225020,0,3189835
16,2012,3955.856541407489,48758,49,287437,1,2389142
16,2013,3600.276587772201,46843,55,282437,1,2576365
16,2014,2716.3413691765336,44929,59,187479,1,2650811
16,2015,2957.588185420993,43014,62,216666,1,2666868
16,2016,2873.1624313090806,41100,65,279166,1,2671500
17,2012,2291.957140401502,60945,55,222833,0,3351975
17,2013,2111.6801712276374,59890,63,232500,0,3773070
17,2014,1539.2263714411215,58836,69,152479,0,4059684
17,2015,1654.8689496843049,57781,66,166937,0,3813546
17,2016,1974.0242338393023,56727,64,195942,0,3630528
18,2012,3026.0639081136655,41387,50,193645,0,2069350
18,2013,2269.3997071742397,39982,44,200229,0,1759208
18,2014,1790.6536613771975,38578,45,137187,0,1736010
18,2015,1990.4458598726042,37173,54,140500,0,2007342
18,2016,2152.0080610335417,35769,63,178675,0,2253447
19,2012,3791.3946753098094,43103,42,189750,0,1810326
19,2013,3356.4487783617865,42911,48,220166,0,2059728
19,2014,2679.071086543099,42720,54,129489,0,2306880
19,2015,2540.405478065467,42528,58,137349,0,2466624
19,2016,2816.602277554245,42337,62,173656,0,2624894
20,2012,3885.4423801481844,37327,47,187000,0,1754369
20,2013,3588.291613135479,34799,48,211104,0,1670352
20,2014,3158.658683424859,32271,62,111104,0,2000802
20,2015,3108.7652217280847,29743,60,117879,0,1784580
20,2016,3016.1868695331577,27215,59,160625,0,1605685
21,2012,4576.884912904075,44388,49,290145,1,2175012
21,2013,3796.335893083575,42745,47,308520,1,2009015
21,2014,3124.536222358889,41103,49,172083,1,2014047
21,2015,3258.235947686236,39460,50,212729,1,1973000
21,2016,3262.157351755841,37818,51,286212,1,1928718
