,0,4,neighborhood,code
0,2016,50,Garfield Ridge,56
1,2016,30,Washington Park,40
2,2016,62,Garfield Park,27
3,2016,29,Avondale,21
4,2016,50,Albany Park,14
5,2016,33,Austin,25
6,2016,61,Humboldt Park,23
7,2016,69,Avalon Park,45
8,2016,41,New City,61
9,2016,58,Bucktown,22
10,2016,68,Washington Heights,73
11,2016,88,Irving Park,16
12,2016,52,West Pullman,53
13,2016,50,Washington Park,40
14,2016,86,Belmont Cragin,19
15,2016,51,Ashburn,70
16,2016,58,Auburn Gresham,71
17,2016,27,Washington Heights,73
18,2016,73,North Park,13
19,2016,70,Rogers Park,1
20,2016,62,West Loop,32
21,2016,75,Loop,32
22,2016,52,Humboldt Park,23
23,2016,31,North Lawndale,29
24,2016,75,United Center,28
25,2016,62,North Lawndale,29
26,2016,26,Roseland,49
27,2016,35,North Lawndale,29
28,2016,45,Garfield Park,27
29,2016,25,"Little Italy, UIC",28
30,2016,65,North Lawndale,29
31,2016,45,Mckinley Park,59
32,2016,80,West Town,24
33,2016,66,Grand Crossing,69
34,2016,65,West Town,24
35,2016,63,Hermosa,20
36,2016,57,West Town,24
37,2016,45,Humboldt Park,23
38,2016,83,"Little Italy, UIC",28
39,2016,55,North Lawndale,29
40,2016,46,North Lawndale,29
41,2016,46,Andersonville,77
42,2016,72,Auburn Gresham,71
43,2016,55,Auburn Gresham,71
44,2016,36,Near South Side,33
45,2016,50,Douglas,35
46,2016,44,Austin,25
47,2016,76,Humboldt Park,23
48,2016,37,West Town,24
49,2016,42,Englewood,68
50,2016,72,Grand Crossing,69
51,2016,42,Oakland,36
52,2016,57,Kenwood,39
53,2016,60,Woodlawn,42
54,2016,55,Grand Boulevard,38
55,2016,52,Archer Heights,57
56,2016,30,Archer Heights,57
57,2016,75,Lower West Side,31
58,2016,47,Avondale,21
59,2016,41,Little Village,30
60,2016,62,Gage Park,63
61,2016,38,Archer Heights,57
62,2016,27,Englewood,68
63,2016,46,Douglas,35
64,2016,45,Brighton Park,58
65,2016,50,"Little Italy, UIC",28
66,2016,88,Riverdale,54
67,2016,52,South Chicago,46
68,2016,65,West Town,24
69,2016,77,United Center,28
70,2016,85,Loop,32
71,2016,62,Brighton Park,58
72,2016,42,"Little Italy, UIC",28
73,2016,35,Lower West Side,31
74,2016,54,Douglas,35
75,2016,72,Englewood,68
76,2016,55,South Chicago,46
77,2016,75,Washington Heights,73
78,2016,25,Auburn Gresham,71
79,2016,50,Gage Park,63
80,2016,59,River North,8
81,2016,87,Ukrainian Village,24
82,2016,37,Chicago Lawn,66
83,2016,58,Englewood,68
84,2016,66,Auburn Gresham,71
85,2016,60,North Lawndale,29
86,2016,60,Garfield Park,27
87,2016,30,Belmont Cragin,19
88,2016,27,West Ridge,2
89,2016,35,Austin,25
90,2016,31,Douglas,35
91,2016,50,Avondale,21
92,2016,67,Humboldt Park,23
93,2016,53,Austin,25
94,2016,47,North Lawndale,29
95,2016,53,Grand Crossing,69
96,2016,60,Auburn Gresham,71
97,2016,82,Humboldt Park,23
98,2016,45,Loop,32
99,2016,97,Lower West Side,31
100,2016,31,Little Village,30
101,2016,57,Pullman,50
102,2016,50,Kenwood,39
103,2016,68,Avalon Park,45
104,2016,35,Uptown,3
105,2016,43,United Center,28
106,2016,42,Humboldt Park,23
107,2016,32,Douglas,35
108,2016,55,Austin,25
109,2016,50,Morgan Park,75
110,2016,36,Lower West Side,31
111,2016,35,Gage Park,63
112,2016,75,Chatham,44
113,2016,47,Garfield Park,27
114,2016,58,Brighton Park,58
115,2016,88,Pullman,50
116,2016,75,South Chicago,46
117,2016,61,Belmont Cragin,19
118,2016,45,West Pullman,53
119,2016,82,Irving Park,16
120,2016,70,Englewood,68
121,2016,62,Lower West Side,31
122,2016,47,Garfield Park,27
123,2016,52,Gage Park,63
124,2016,89,South Chicago,46
125,2016,89,Belmont Cragin,19
126,2016,75,River North,8
127,2016,65,Morgan Park,75
128,2016,55,Brighton Park,58
129,2016,33,South Shore,43
130,2016,50,Chicago Lawn,66
131,2016,50,Avalon Park,45
132,2016,50,Douglas,35
133,2016,78,Printers Row,32
134,2016,65,Belmont Cragin,19
135,2016,95,River North,8
136,2016,25,New City,61
137,2016,65,Humboldt Park,23
138,2016,45,Chatham,44
139,2016,82,Humboldt Park,23
140,2016,63,West Elsdon,62
141,2016,51,Lincoln Square,4
142,2016,52,Ashburn,70
143,2016,51,Little Village,30
144,2016,50,Roseland,49
145,2016,25,Englewood,68
146,2016,55,Portage Park,15
147,2016,27,Gage Park,63
148,2016,52,Roseland,49
149,2016,32,Englewood,68
150,2016,22,Grand Crossing,69
151,2016,52,Woodlawn,42
152,2016,50,Brighton Park,58
153,2016,50,Hermosa,20
154,2016,50,Garfield Ridge,56
155,2016,55,Lake View,6
156,2016,75,North Center,5
157,2016,27,Garfield Park,27
158,2016,65,Garfield Park,27
159,2016,62,West Ridge,2
160,2016,32,Morgan Park,75
161,2016,67,Roseland,49
162,2016,47,Douglas,35
163,2016,44,Albany Park,14
164,2016,45,Irving Park,16
165,2016,61,Edgewater,77
166,2016,55,Belmont Cragin,19
167,2016,57,Rogers Park,1
168,2016,62,Norwood Park,10
169,2016,35,New City,61
170,2016,67,North Park,13
171,2016,67,Lincoln Park,7
172,2016,42,East Side,52
173,2016,65,East Village,24
174,2016,57,West Lawn,65
175,2016,93,North Park,13
176,2016,90,Englewood,68
177,2016,69,Kenwood,39
178,2016,25,Little Village,30
179,2016,88,North Park,13
180,2016,69,"Little Italy, UIC",28
181,2016,50,Kenwood,39
182,2016,67,Mount Greenwood,74
183,2016,52,Douglas,35
184,2016,87,West Loop,32
185,2016,62,Archer Heights,57
186,2016,42,Ukrainian Village,24
187,2016,57,Riverdale,54
188,2016,30,Pullman,50
189,2016,52,Washington Heights,73
190,2016,44,Lower West Side,31
191,2016,70,Portage Park,15
192,2016,44,Englewood,68
193,2016,81,Near South Side,33
194,2016,64,East Side,52
195,2016,69,Lake View,6
196,2016,61,Lincoln Park,7
197,2016,53,Bridgeport,60
198,2016,75,West Ridge,2
199,2016,80,Logan Square,22
200,2016,77,North Center,5
201,2016,18,"Little Italy, UIC",28
202,2016,65,Avalon Park,45
203,2016,63,Beverly,72
204,2016,63,Hermosa,20
205,2016,42,Auburn Gresham,71
206,2016,55,Englewood,68
207,2016,60,Irving Park,16
208,2016,32,Englewood,68
209,2016,80,Albany Park,14
210,2016,72,Austin,25
211,2016,82,Jefferson Park,11
212,2016,82,Garfield Park,27
213,2016,62,Irving Park,16
214,2016,67,North Center,5
215,2016,50,Roseland,49
216,2016,91,Lake View,6
217,2016,80,West Ridge,2
218,2016,63,Auburn Gresham,71
219,2016,36,South Shore,43
220,2016,47,Ashburn,70
221,2016,67,Roseland,49
222,2016,73,Logan Square,22
223,2016,71,Dunning,17
224,2016,65,South Deering,51
225,2016,53,United Center,28
226,2016,41,Grand Crossing,69
227,2016,80,South Shore,43
228,2016,59,Lincoln Square,4
229,2016,78,Belmont Cragin,19
230,2016,28,Washington Park,40
231,2016,84,Lake View,6
232,2016,63,South Deering,51
233,2016,34,Little Village,30
234,2016,63,Chatham,44
235,2016,77,Wicker Park,24
236,2016,71,Brighton Park,58
237,2016,55,Austin,25
238,2016,67,Garfield Ridge,56
239,2016,71,Avalon Park,45
240,2016,53,Little Village,30
241,2016,61,Humboldt Park,23
242,2016,70,Dunning,17
243,2016,53,Woodlawn,42
244,2016,59,Ashburn,70
245,2016,48,Gage Park,63
246,2016,71,Washington Park,40
247,2016,44,Riverdale,54
248,2016,15,Riverdale,54
249,2016,94,Mount Greenwood,74
250,2016,65,Lake View,6
251,2016,57,North Lawndale,29
252,2016,72,Lincoln Square,4
253,2016,69,Logan Square,22
254,2016,55,Ukrainian Village,24
255,2016,48,Gage Park,63
256,2016,60,Hegewisch,55
257,2016,63,Irving Park,16
258,2016,82,West Ridge,2
259,2016,63,Morgan Park,75
260,2016,55,South Chicago,46
261,2016,84,Ukrainian Village,24
262,2016,47,Auburn Gresham,71
263,2016,32,Rogers Park,1
264,2016,84,North Center,5
265,2016,50,Lower West Side,31
266,2016,57,Englewood,68
267,2016,57,Little Village,30
268,2016,90,Morgan Park,75
269,2016,76,Lower West Side,31
270,2016,46,North Lawndale,29
271,2016,71,O'Hare,76
272,2016,82,Logan Square,22
273,2016,48,Brighton Park,58
274,2016,90,Ashburn,70
275,2016,60,West Ridge,2
276,2016,67,Grand Crossing,69
277,2016,77,Dunning,17
278,2016,80,New City,61
279,2016,67,Chatham,44
280,2016,57,Douglas,35
281,2016,67,Clearing,64
282,2016,40,Douglas,35
283,2016,46,Roseland,49
284,2016,75,Bucktown,22
285,2016,36,Englewood,68
286,2016,65,Chicago Lawn,66
287,2016,84,Edison Park,9
288,2016,63,Roseland,49
289,2016,70,"Sauganash,Forest Glen",12
290,2016,33,West Pullman,53
291,2016,71,Archer Heights,57
292,2016,92,Austin,25
293,2016,54,Garfield Park,27
294,2016,65,Morgan Park,75
295,2016,67,Mckinley Park,59
296,2016,71,Belmont Cragin,19
297,2016,76,Jefferson Park,11
298,2016,88,Washington Heights,73
299,2016,55,Rogers Park,1
300,2016,61,Woodlawn,42
301,2016,67,Little Village,30
302,2016,75,Little Village,30
303,2016,80,Belmont Cragin,19
304,2016,53,Washington Heights,73
305,2016,53,Garfield Park,27
306,2016,65,Old Town,8
307,2016,76,Auburn Gresham,71
308,2016,25,Grand Boulevard,38
309,2016,34,New City,61
310,2016,48,Logan Square,22
311,2016,63,Rogers Park,1
312,2016,51,East Side,52
313,2016,86,Norwood Park,10
314,2016,48,Little Village,30
315,2016,61,Roseland,49
316,2016,50,Englewood,68
317,2016,76,Logan Square,22
318,2016,48,West Pullman,53
319,2016,46,Hegewisch,55
320,2016,62,Uptown,3
321,2016,57,New City,61
322,2016,65,Portage Park,15
323,2016,58,Little Village,30
324,2016,73,Kenwood,39
325,2016,75,Mckinley Park,59
326,2016,48,Garfield Park,27
327,2016,55,Auburn Gresham,71
328,2016,69,Clearing,64
329,2016,67,Brighton Park,58
330,2016,34,Chinatown,32
331,2016,73,Clearing,64
332,2016,63,South Chicago,46
333,2016,92,Lake View,6
334,2016,42,New City,61
335,2016,69,Little Village,30
336,2016,46,Lower West Side,31
337,2016,57,Hermosa,20
338,2016,63,Hyde Park,41
339,2016,59,Grand Crossing,69
340,2016,50,Albany Park,14
341,2016,67,Little Village,30
342,2016,71,Lake View,6
343,2016,59,Austin,25
344,2016,57,Edgewater,77
345,2016,63,Woodlawn,42
346,2016,44,Pullman,50
347,2016,71,Bridgeport,60
348,2016,53,Garfield Ridge,56
349,2016,48,New City,61
350,2016,82,Garfield Park,27
351,2016,40,Englewood,68
352,2016,55,Fuller Park,37
353,2016,59,Irving Park,16
354,2016,55,Near South Side,33
355,2016,51,North Lawndale,29
356,2016,55,New City,61
357,2016,42,Albany Park,14
358,2016,73,Norwood Park,10
359,2016,71,Bridgeport,60
360,2016,57,Englewood,68
361,2016,38,Austin,25
362,2016,85,Calumet Heights,48
363,2016,63,Auburn Gresham,71
364,2016,61,Roseland,49
365,2016,67,North Lawndale,29
366,2016,57,West Lawn,65
367,2016,51,"Little Italy, UIC",28
368,2016,69,North Center,5
369,2016,76,West Ridge,2
370,2016,40,River North,8
371,2016,51,Lower West Side,31
372,2016,69,Lower West Side,31
373,2016,69,Beverly,72
374,2016,50,Little Village,30
375,2016,85,Englewood,68
376,2016,75,Humboldt Park,23
377,2016,32,Rogers Park,1
378,2016,70,Little Village,30
379,2016,67,Garfield Ridge,56
380,2016,46,Washington Heights,73
381,2016,82,West Town,24
382,2016,55,Hyde Park,41
383,2016,78,Washington Heights,73
384,2016,87,Old Town,8
385,2016,17,North Lawndale,29
386,2016,48,Austin,25
387,2016,37,New City,61
388,2016,78,Lincoln Park,7
389,2016,76,Avondale,21
390,2016,57,Belmont Cragin,19
391,2016,63,Montclare,18
392,2016,60,Galewood,25
393,2016,78,Humboldt Park,23
394,2016,61,Belmont Cragin,19
395,2016,48,South Shore,43
396,2016,63,Old Town,8
397,2016,25,Belmont Cragin,19
398,2016,34,South Chicago,46
399,2016,71,Chicago Lawn,66
400,2016,45,South Deering,51
401,2016,39,Garfield Park,27
402,2016,61,North Lawndale,29
403,2016,38,Chicago Lawn,66
404,2016,85,Sheffield & DePaul,7
405,2016,64,"Little Italy, UIC",28
406,2016,76,Bridgeport,60
407,2016,57,Little Village,30
408,2016,34,Woodlawn,42
409,2016,76,Chatham,44
410,2016,53,Chicago Lawn,66
411,2016,61,Belmont Cragin,19
412,2016,55,Lincoln Square,4
413,2016,95,West Town,24
414,2016,50,Logan Square,22
415,2016,76,Humboldt Park,23
416,2016,71,Chicago Lawn,66
417,2016,63,Lake View,6
418,2016,71,Bridgeport,60
419,2016,88,Mount Greenwood,74
420,2016,93,Norwood Park,10
421,2016,76,Mount Greenwood,74
422,2016,59,Washington Heights,73
423,2016,93,Clearing,64
424,2016,53,Logan Square,22
425,2016,67,Irving Park,16
426,2016,67,Hyde Park,41
427,2016,75,West Pullman,53
428,2016,70,Austin,25
429,2016,25,Chatham,44
430,2016,69,Boystown,6
431,2016,57,Old Town,8
432,2016,71,Gage Park,63
433,2016,65,Hermosa,20
434,2016,65,Humboldt Park,23
435,2016,69,Norwood Park,10
436,2016,53,Humboldt Park,23
437,2016,53,Rush & Division,8
438,2016,26,Auburn Gresham,71
439,2016,61,South Shore,43
440,2016,76,Norwood Park,10
