,community,2012,2013,2014,2015,2016
0,1,37779,36461.5,35144.0,33826.5,32509.0
1,2,47941,48538.5,49136.0,49733.5,50331.0
2,3,44229,43961.0,43693.0,43425.0,43157.0
3,4,62076,62125.0,62174.0,62223.0,62272.0
4,5,90279,91425.5,92572.0,93718.5,94865.0
5,6,75730,76509.0,77288.0,78067.0,78846.0
6,7,87694,86904.5,86115.0,85325.5,84536.0
7,8,82169,82194.5,82220.0,82245.5,82271.0
8,9,79342,77036.5,74731.0,72425.5,70120.0
9,10,70578,70546.0,70514.0,70482.0,70450.0
10,11,62021,62463.0,62905.0,63347.0,63789.0
11,12,84347,80407.5,76468.0,72528.5,68589.0
12,13,52283,50687.5,49092.0,47496.5,45901.0
13,14,52666,54387.0,56108.0,57829.0,59550.0
14,15,54773,54596.0,54419.0,54242.0,54065.0
15,16,48758,46843.5,44929.0,43014.5,41100.0
16,17,60945,59890.5,58836.0,57781.5,56727.0
17,18,41387,39982.5,38578.0,37173.5,35769.0
18,19,43103,42911.5,42720.0,42528.5,42337.0
19,20,37327,34799.0,32271.0,29743.0,27215.0
20,21,44388,42745.5,41103.0,39460.5,37818.0
21,22,56115,57024.0,57933.0,58842.0,59751.0
22,23,32303,33119.5,33936.0,34752.5,35569.0
23,24,69962,70097.0,70232.0,70367.0,70502.0
24,25,31289,30580.5,29872.0,29163.5,28455.0
25,26,25362,25454.0,25546.0,25638.0,25730.0
26,27,22103,20219.0,18335.0,16451.0,14567.0
27,28,70307,71114.0,71921.0,72728.0,73535.0
28,29,23107,22708.0,22309.0,21910.0,21511.0
29,30,31229,30013.0,28797.0,27581.0,26365.0
30,31,35103,34049.0,32995.0,31941.0,30887.0
31,32,88756,92841.0,96926.0,101011.0,105096.0
32,33,74175,74377.5,74580.0,74782.5,74985.0
33,34,23590,24299.0,25008.0,25717.0,26426.0
34,35,32389,31526.5,30664.0,29801.5,28939.0
35,36,24815,26240.5,27666.0,29091.5,30517.0
36,37,16569,16854.0,17139.0,17424.0,17709.0
37,38,30347,29983.5,29620.0,29256.5,28893.0
38,39,39593,39735.5,39878.0,40020.5,40163.0
39,40,22059,21390.5,20722.0,20053.5,19385.0
40,41,48643,48285.0,47927.0,47569.0,47211.0
41,42,26452,25866.5,25281.0,24695.5,24110.0
42,43,26865,24707.5,22550.0,20392.5,18235.0
43,44,33849,35051.5,36254.0,37456.5,38659.0
44,45,44574,43459.5,42345.0,41230.5,40116.0
45,46,29452,28457.5,27463.0,26468.5,25474.0
46,47,25430,24640.0,23850.0,23060.0,22270.0
47,48,52393,50162.5,47932.0,45701.5,43471.0
48,49,37957,37438.5,36920.0,36401.5,35883.0
49,50,38175,35196.5,32218.0,29239.5,26261.0
50,51,33496,33678.5,33861.0,34043.5,34226.0
51,52,43629,43568.0,43507.0,43446.0,43385.0
52,53,34031,30548.0,27065.0,23582.0,20099.0
53,54,14579,14698.0,14817.0,14936.0,15055.0
54,55,49907,51591.0,53275.0,54959.0,56643.0
55,56,61669,61312.0,60955.0,60598.0,60241.0
56,57,42055,41186.0,40317.0,39448.0,38579.0
57,58,35667,34208.5,32750.0,31291.5,29833.0
58,59,42371,42219.5,42068.0,41916.5,41765.0
59,60,41707,39686.0,37665.0,35644.0,33623.0
60,61,30716,29097.5,27479.0,25860.5,24242.0
61,62,44876,43370.0,41864.0,40358.0,38852.0
62,63,37773,37010.0,36247.0,35484.0,34721.0
63,64,60222,61411.0,62600.0,63789.0,64978.0
64,65,48793,48654.0,48515.0,48376.0,48237.0
65,66,32601,31161.5,29722.0,28282.5,26843.0
66,67,26858,26738.5,26619.0,26499.5,26380.0
67,68,18744,18369.0,17994.0,17619.0,17244.0
68,69,25950,23896.0,21842.0,19788.0,17734.0
69,70,65200,63221.0,61242.0,59263.0,57284.0
70,71,29999,29113.0,28227.0,27341.0,26455.0
71,72,91239,92771.0,94303.0,95835.0,97367.0
72,73,40553,39566.0,38579.0,37592.0,36605.0
73,74,87851,87156.5,86462.0,85767.5,85073.0
74,75,61223,60313.5,59404.0,58494.5,57585.0
75,76,43259,41572.0,39885.0,38198.0,36511.0
76,77,44429,44721.5,45014.0,45306.5,45599.0
