,community,date,value
0,1,2012,1977250
1,1,2013,2017250
2,1,2014,761250
3,1,2015,1117250
4,1,2016,1479000
5,2,2012,1805750
6,2,2013,1872000
7,2,2014,836250
8,2,2015,967698
9,2,2016,1511750
10,3,2016,2509000
11,3,2015,2279750
12,3,2012,2548250
13,3,2013,2742000
14,3,2014,1930500
15,4,2012,3469500
16,4,2013,3269000
17,4,2014,1668500
18,4,2015,2453500
19,4,2016,2706250
20,5,2016,11661750
21,5,2014,11127250
22,5,2015,11752500
23,5,2012,11665250
24,5,2013,12281750
25,6,2012,5045500
26,6,2013,5177750
27,6,2014,4561250
28,6,2015,4898250
29,6,2016,5020250
30,7,2016,14429750
31,7,2014,13747750
32,7,2015,13355250
33,7,2012,15137000
34,7,2013,15217250
35,8,2012,8830250
36,8,2013,9238000
37,8,2014,7302750
38,8,2015,7873750
39,8,2016,8541000
40,9,2015,3422500
41,9,2012,3639250
42,9,2013,3561000
43,9,2014,2722750
44,9,2016,3490500
45,10,2016,3366750
46,10,2015,2809250
47,10,2012,3280000
48,10,2013,3487500
49,10,2014,2547750
50,11,2012,3038250
51,11,2013,3192000
52,11,2014,2164500
53,11,2015,2323000
54,11,2016,2811250
55,12,2016,9660500
56,12,2015,9416750
57,12,2014,8734500
58,12,2013,10426250
59,12,2012,10062500
60,13,2012,3292750
61,13,2013,3885250
62,13,2014,2340250
63,13,2015,2609500
64,13,2016,2706000
65,14,2015,2017750
66,14,2014,1362750
67,14,2016,2333500
68,14,2012,2709900
69,14,2013,2928250
70,15,2012,3032000
71,15,2013,3193000
72,15,2014,1947500
73,15,2015,2403250
74,15,2016,2700250
75,16,2015,2600000
76,16,2014,2249750
77,16,2016,3350000
78,16,2012,3449250
79,16,2013,3389250
80,17,2012,2674000
81,17,2013,2790000
82,17,2014,1829750
83,17,2015,2003250
84,17,2016,2351308
85,18,2012,2323750
86,18,2013,2402750
87,18,2014,1646250
88,18,2015,1686000
89,18,2016,2144100
90,19,2016,4167750
91,19,2014,3107750
92,19,2015,3296399
93,19,2012,4554000
94,19,2013,5284000
95,20,2012,2244000
96,20,2013,2533250
97,20,2014,1333250
98,20,2015,1414549
99,20,2016,1927500
100,21,2014,2065000
101,21,2016,3434550
102,21,2015,2552750
103,21,2013,3702250
104,21,2012,3481750
105,22,2012,8473500
106,22,2013,9287500
107,22,2014,6751750
108,22,2015,7804000
109,22,2016,8392250
110,23,2016,1237750
111,23,2014,809500
112,23,2015,863904
113,23,2012,1489750
114,23,2013,1651650
115,24,2012,14928750
116,24,2013,15717750
117,24,2014,12176250
118,24,2015,13376500
119,24,2016,14493500
120,25,2015,2448000
121,25,2016,3203549
122,25,2013,4011250
123,25,2012,3918500
124,25,2014,2265500
125,26,2016,516750
126,26,2012,1170750
127,26,2013,640750
128,26,2014,408875
129,26,2015,668500
130,27,2014,763250
131,27,2015,743000
132,27,2012,1145500
133,27,2013,1525500
134,27,2016,841500
135,28,2016,10641500
136,28,2014,7567850
137,28,2015,7372500
138,28,2013,12902750
139,28,2012,11841500
140,29,2012,809500
141,29,2013,1154750
142,29,2014,567500
143,29,2015,650000
144,29,2016,1066500
145,30,2015,574000
146,30,2014,591500
147,30,2016,608000
148,30,2012,869400
149,30,2013,1002750
150,32,2012,3462236
151,32,2013,3495000
152,32,2014,2570000
153,32,2015,3082250
154,32,2016,3202250
155,33,2012,4384500
156,33,2013,4296250
157,33,2014,3382000
158,33,2015,4177500
159,33,2016,3892500
160,34,2015,3406500
161,34,2016,2926500
162,34,2013,3232500
163,34,2012,3071000
164,34,2014,3195000
165,35,2012,1305850
166,35,2013,1652250
167,35,2014,969104
168,35,2015,941450
169,35,2016,978250
170,36,2016,3502250
171,36,2015,1570250
172,36,2013,2899500
173,36,2012,3233250
174,36,2014,2009000
175,37,2016,425500
176,37,2012,951000
177,37,2013,577250
178,37,2014,498250
179,37,2015,1109000
180,38,2014,903000
181,38,2015,1235000
182,38,2012,1329750
183,38,2013,2065000
184,38,2016,1361000
185,39,2016,1993500
186,39,2015,1557697
187,39,2014,2033250
188,39,2013,2576500
189,39,2012,2596250
190,40,2012,712500
191,40,2013,1013750
192,40,2014,404250
193,40,2015,430050
194,40,2016,543250
195,41,2015,2426500
196,41,2014,2107750
197,41,2016,2214500
198,41,2012,2384750
199,41,2013,2275000
200,42,2012,983750
201,42,2013,1077475
202,42,2014,1043750
203,42,2015,1084250
204,42,2016,1228000
205,43,2012,966000
206,43,2013,1099000
207,43,2014,728500
208,43,2015,567750
209,43,2016,760000
210,44,2016,1493000
211,44,2015,1278500
212,44,2014,1231000
213,44,2013,1560000
214,44,2012,1495000
215,45,2012,1417700
216,45,2013,1996500
217,45,2014,1208000
218,45,2015,1164500
219,45,2016,1507250
220,46,2015,1051399
221,46,2014,797250
222,46,2016,1152250
223,46,2012,1305000
224,46,2013,1649500
225,47,2012,1182250
226,47,2013,795500
