,date,value,community
0,2012-01-01,121500,14
1,2012-02-01,104500,14
2,2012-03-01,104000,14
3,2012-04-01,72000,14
4,2012-05-01,83000,14
5,2012-06-01,113000,14
6,2012-07-01,124250,14
7,2012-08-01,130000,14
8,2012-09-01,123000,14
9,2012-10-01,122500,14
10,2012-11-01,140000,14
11,2012-12-01,125000,14
12,2013-01-01,131000,14
13,2013-02-01,117500,14
14,2013-03-01,137250,14
15,2013-04-01,132000,14
16,2013-05-01,160000,14
17,2013-06-01,175750,14
18,2013-07-01,185000,14
19,2013-08-01,177500,14
20,2013-09-01,215000,14
21,2013-10-01,180000,14
22,2013-11-01,218750,14
23,2013-12-01,188000,14
24,2014-01-01,206500,14
25,2014-02-01,154250,14
26,2014-03-01,160000,14
27,2014-04-01,157500,14
28,2014-05-01,175000,14
29,2014-06-01,178750,14
30,2014-07-01,192500,14
31,2014-08-01,208000,14
32,2014-09-01,243500,14
33,2014-10-01,225000,14
34,2014-11-01,217500,14
35,2014-12-01,215000,14
36,2015-01-01,180000,14
37,2015-02-01,175000,14
38,2015-03-01,185000,14
39,2015-04-01,228750,14
40,2015-05-01,242500,14
41,2015-06-01,228500,14
42,2015-07-01,250100,14
43,2015-08-01,250050,14
44,2015-09-01,250000,14
45,2015-10-01,250000,14
46,2015-11-01,220000,14
47,2015-12-01,250000,14
48,2016-01-01,242000,14
49,2016-02-01,249000,14
50,2016-03-01,224000,14
51,2016-04-01,245000,14
52,2016-05-01,245000,14
53,2016-06-01,246500,14
54,2016-07-01,217500,14
55,2016-08-01,238000,14
56,2016-09-01,266250,14
57,2016-10-01,255000,14
58,2016-11-01,252500,14
59,2016-12-01,247500,14
60,2017-01-01,283000,14
61,2012-01-01,129500,57
62,2012-02-01,129500,57
63,2012-03-01,110000,57
64,2012-04-01,110000,57
65,2012-05-01,106000,57
66,2012-06-01,120000,57
67,2012-07-01,125000,57
68,2012-08-01,125000,57
69,2012-09-01,124000,57
70,2012-10-01,123500,57
71,2012-11-01,114250,57
72,2012-12-01,107000,57
73,2013-01-01,88000,57
74,2013-02-01,85500,57
75,2013-03-01,138000,57
76,2013-04-01,128000,57
77,2013-05-01,135000,57
78,2013-06-01,128000,57
79,2013-07-01,127500,57
80,2013-08-01,100000,57
81,2013-09-01,147000,57
82,2013-10-01,150000,57
83,2013-11-01,149500,57
84,2013-12-01,157000,57
85,2014-01-01,139500,57
86,2014-02-01,157000,57
87,2014-03-01,150000,57
88,2014-04-01,152500,57
89,2014-05-01,144500,57
90,2014-06-01,139500,57
91,2014-07-01,144500,57
92,2014-08-01,140000,57
93,2014-09-01,158250,57
94,2014-10-01,157250,57
95,2014-11-01,157250,57
96,2014-12-01,155000,57
97,2015-01-01,155000,57
98,2015-02-01,155000,57
99,2015-03-01,154000,57
100,2015-04-01,152000,57
101,2015-05-01,150000,57
102,2015-06-01,162250,57
103,2015-07-01,168000,57
104,2015-08-01,170000,57
105,2015-09-01,170000,57
106,2015-10-01,178500,57
107,2015-11-01,186000,57
108,2015-12-01,180000,57
109,2016-01-01,175000,57
110,2016-02-01,165000,57
111,2016-03-01,175000,57
112,2016-04-01,175000,57
113,2016-05-01,180000,57
114,2016-06-01,153500,57
115,2016-07-01,168000,57
116,2016-08-01,163500,57
117,2016-09-01,169000,57
118,2016-10-01,178000,57
119,2016-11-01,183000,57
120,2016-12-01,183500,57
121,2017-01-01,180000,57
122,2012-01-01,232500,34
123,2012-02-01,230000,34
124,2012-03-01,195000,34
125,2012-04-01,160000,34
126,2012-05-01,272500,34
127,2012-06-01,301000,34
128,2012-07-01,363000,34
129,2012-08-01,301000,34
130,2012-09-01,310000,34
131,2012-10-01,282000,34
132,2012-11-01,282000,34
133,2012-12-01,266000,34
134,2013-01-01,351500,34
135,2013-02-01,250000,34
136,2013-03-01,300000,34
137,2013-04-01,189000,34
138,2013-05-01,256500,34
139,2013-06-01,219750,34
140,2013-07-01,278250,34
141,2013-08-01,272000,34
142,2013-09-01,286000,34
143,2013-10-01,343000,34
144,2013-11-01,310500,34
145,2013-12-01,350000,34
146,2014-01-01,227500,34
147,2014-02-01,243500,34
148,2014-03-01,222000,34
149,2014-04-01,273500,34
150,2014-05-01,216000,34
151,2014-06-01,254000,34
152,2014-07-01,216000,34
153,2014-08-01,289000,34
154,2014-09-01,210000,34
155,2014-10-01,328000,34
156,2014-11-01,225000,34
157,2014-12-01,222000,34
158,2015-01-01,236000,34
159,2015-02-01,266500,34
160,2015-03-01,287500,34
161,2015-04-01,282000,34
162,2015-05-01,282000,34
163,2015-06-01,218000,34
164,2015-07-01,225000,34
165,2015-08-01,237500,34
166,2015-09-01,250000,34
167,2015-10-01,296500,34
168,2015-11-01,250000,34
169,2015-12-01,240000,34
170,2016-01-01,338000,34
171,2016-02-01,281500,34
172,2016-03-01,289500,34
173,2016-04-01,240000,34
174,2016-05-01,237500,34
175,2016-06-01,240000,34
176,2016-07-01,242000,34
177,2016-08-01,242000,34
178,2016-09-01,259000,34
179,2016-10-01,275000,34
180,2016-11-01,314000,34
181,2016-12-01,274000,34
182,2017-01-01,270000,34
183,2012-01-01,113000,70
184,2012-02-01,105000,70
185,2012-03-01,102000,70
186,2012-04-01,101000,70
187,2012-05-01,101000,70
188,2012-06-01,120000,70
189,2012-07-01,101500,70
190,2012-08-01,98000,70
191,2012-09-01,91250,70
192,2012-10-01,120000,70
193,2012-11-01,103000,70
194,2012-12-01,124500,70
195,2013-01-01,119000,70
196,2013-02-01,104000,70
197,2013-03-01,100000,70
198,2013-04-01,87000,70
199,2013-05-01,89000,70
200,2013-06-01,102000,70
201,2013-07-01,125000,70
202,2013-08-01,131000,70
203,2013-09-01,123000,70
204,2013-10-01,117000,70
205,2013-11-01,114000,70
206,2013-12-01,117500,70
207,2014-01-01,115500,70
208,2014-02-01,115000,70
209,2014-03-01,120000,70
210,2014-04-01,148500,70
211,2014-05-01,148500,70
212,2014-06-01,134000,70
213,2014-07-01,129500,70
214,2014-08-01,132000,70
215,2014-09-01,138000,70
216,2014-10-01,130500,70
217,2014-11-01,130000,70
218,2014-12-01,129000,70
