date,value
2000-01-01,126000
2000-02-01,128000
2000-03-01,130000
2000-04-01,130000
2000-05-01,132250
2000-06-01,134750
2000-07-01,134750
2000-08-01,141000
2000-09-01,143750
2000-10-01,148750
2000-11-01,140000
2000-12-01,150000
2001-01-01,150750
2001-02-01,139500
2001-03-01,148000
2001-04-01,140250
2001-05-01,148000
2001-06-01,138500
2001-07-01,140000
2001-08-01,143250
2001-09-01,150000
2001-10-01,152500
2001-11-01,151000
2001-12-01,152500
2002-01-01,158250
2002-02-01,160000
2002-03-01,152000
2002-04-01,152500
2002-05-01,156500
2002-06-01,162000
2002-07-01,161000
2002-08-01,169000
2002-09-01,169500
2002-10-01,163500
2002-11-01,163500
2002-12-01,167000
2003-01-01,177000
2003-02-01,168500
2003-03-01,162500
2003-04-01,160000
2003-05-01,167000
2003-06-01,177500
2003-07-01,197000
2003-08-01,205000
2003-09-01,199750
2003-10-01,200000
2003-11-01,200000
2003-12-01,210000
2004-01-01,210000
2004-02-01,209000
2004-03-01,211000
2004-04-01,208000
2004-05-01,213000
2004-06-01,215000
2004-07-01,222000
2004-08-01,226000
2004-09-01,227250
2004-10-01,230000
2004-11-01,230000
2004-12-01,229000
2005-01-01,230000
2005-02-01,231500
2005-03-01,235000
2005-04-01,237000
2005-05-01,243500
2005-06-01,239500
2005-07-01,238250
2005-08-01,251000
2005-09-01,258000
2005-10-01,265000
2005-11-01,259500
2005-12-01,256000
2006-01-01,252000
2006-02-01,255000
2006-03-01,260500
2006-04-01,268250
2006-05-01,265000
2006-06-01,267750
2006-07-01,268950
2006-08-01,270000
2006-09-01,265000
2006-10-01,262500
2006-11-01,260000
2006-12-01,254000
2007-01-01,250500
2007-02-01,242000
2007-03-01,252750
2007-04-01,252500
2007-05-01,275000
2007-06-01,242500
2007-07-01,255000
2007-08-01,233250
2007-09-01,260000
2007-10-01,262500
2007-11-01,275500
2007-12-01,255000
2008-01-01,255000
2008-02-01,239500
2008-03-01,235000
2008-04-01,221000
2008-05-01,185000
2008-06-01,209000
2008-07-01,186000
2008-08-01,225500
2008-09-01,206500
2008-10-01,225000
2008-11-01,203000
2008-12-01,214000
2009-01-01,189000
2009-02-01,172500
2009-03-01,196000
2009-04-01,160000
2009-05-01,120000
2009-06-01,120000
2009-07-01,152500
2009-08-01,159600
2009-09-01,155000
2009-10-01,143000
2009-11-01,170000
2009-12-01,167500
2010-01-01,171250
2010-02-01,160500
2010-03-01,161000
2010-04-01,155000
2010-05-01,158500
2010-06-01,155000
2010-07-01,153500
2010-08-01,157500
2010-09-01,145250
2010-10-01,145000
2010-11-01,137500
2010-12-01,162500
2011-01-01,163250
2011-02-01,146000
2011-03-01,141000
2011-04-01,130000
2011-05-01,135500
2011-06-01,135000
2011-07-01,139000
2011-08-01,135000
2011-09-01,135000
2011-10-01,118500
2011-11-01,118500
2011-12-01,125000
2012-01-01,129500
2012-02-01,129500
2012-03-01,110000
2012-04-01,110000
2012-05-01,106000
2012-06-01,120000
2012-07-01,125000
2012-08-01,125000
2012-09-01,124000
2012-10-01,123500
2012-11-01,114250
2012-12-01,107000
2013-01-01,88000
2013-02-01,85500
2013-03-01,138000
2013-04-01,128000
2013-05-01,135000
2013-06-01,128000
2013-07-01,127500
2013-08-01,100000
2013-09-01,147000
2013-10-01,150000
2013-11-01,149500
2013-12-01,157000
2014-01-01,139500
2014-02-01,157000
2014-03-01,150000
2014-04-01,152500
2014-05-01,144500
2014-06-01,139500
2014-07-01,144500
2014-08-01,140000
2014-09-01,158250
2014-10-01,157250
2014-11-01,157250
2014-12-01,155000
2015-01-01,155000
2015-02-01,155000
2015-03-01,154000
2015-04-01,152000
2015-05-01,150000
2015-06-01,162250
2015-07-01,168000
2015-08-01,170000
2015-09-01,170000
2015-10-01,178500
2015-11-01,186000
2015-12-01,180000
2016-01-01,175000
2016-02-01,165000
2016-03-01,175000
2016-04-01,175000
2016-05-01,180000
2016-06-01,153500
2016-07-01,168000
2016-08-01,163500
2016-09-01,169000
2016-10-01,178000
2016-11-01,183000
2016-12-01,183500
2017-01-01,180000
