,date,value,community
144,2012-01-01,121500,Albany Park
145,2012-02-01,104500,Albany Park
146,2012-03-01,104000,Albany Park
147,2012-04-01,72000,Albany Park
148,2012-05-01,83000,Albany Park
149,2012-06-01,113000,Albany Park
150,2012-07-01,124250,Albany Park
151,2012-08-01,130000,Albany Park
152,2012-09-01,123000,Albany Park
153,2012-10-01,122500,Albany Park
154,2012-11-01,140000,Albany Park
155,2012-12-01,125000,Albany Park
156,2013-01-01,131000,Albany Park
157,2013-02-01,117500,Albany Park
158,2013-03-01,137250,Albany Park
159,2013-04-01,132000,Albany Park
160,2013-05-01,160000,Albany Park
161,2013-06-01,175750,Albany Park
162,2013-07-01,185000,Albany Park
163,2013-08-01,177500,Albany Park
164,2013-09-01,215000,Albany Park
165,2013-10-01,180000,Albany Park
166,2013-11-01,218750,Albany Park
167,2013-12-01,188000,Albany Park
168,2014-01-01,206500,Albany Park
169,2014-02-01,154250,Albany Park
170,2014-03-01,160000,Albany Park
171,2014-04-01,157500,Albany Park
172,2014-05-01,175000,Albany Park
173,2014-06-01,178750,Albany Park
174,2014-07-01,192500,Albany Park
175,2014-08-01,208000,Albany Park
176,2014-09-01,243500,Albany Park
177,2014-10-01,225000,Albany Park
178,2014-11-01,217500,Albany Park
179,2014-12-01,215000,Albany Park
180,2015-01-01,180000,Albany Park
181,2015-02-01,175000,Albany Park
182,2015-03-01,185000,Albany Park
183,2015-04-01,228750,Albany Park
184,2015-05-01,242500,Albany Park
185,2015-06-01,228500,Albany Park
186,2015-07-01,250100,Albany Park
187,2015-08-01,250050,Albany Park
188,2015-09-01,250000,Albany Park
189,2015-10-01,250000,Albany Park
190,2015-11-01,220000,Albany Park
191,2015-12-01,250000,Albany Park
192,2016-01-01,242000,Albany Park
193,2016-02-01,249000,Albany Park
194,2016-03-01,224000,Albany Park
195,2016-04-01,245000,Albany Park
196,2016-05-01,245000,Albany Park
197,2016-06-01,246500,Albany Park
198,2016-07-01,217500,Albany Park
199,2016-08-01,238000,Albany Park
200,2016-09-01,266250,Albany Park
201,2016-10-01,255000,Albany Park
202,2016-11-01,252500,Albany Park
203,2016-12-01,247500,Albany Park
204,2017-01-01,283000,Albany Park
144,2012-01-01,129500,Archer Heights
145,2012-02-01,129500,Archer Heights
146,2012-03-01,110000,Archer Heights
147,2012-04-01,110000,Archer Heights
148,2012-05-01,106000,Archer Heights
149,2012-06-01,120000,Archer Heights
150,2012-07-01,125000,Archer Heights
151,2012-08-01,125000,Archer Heights
152,2012-09-01,124000,Archer Heights
153,2012-10-01,123500,Archer Heights
154,2012-11-01,114250,Archer Heights
155,2012-12-01,107000,Archer Heights
156,2013-01-01,88000,Archer Heights
157,2013-02-01,85500,Archer Heights
158,2013-03-01,138000,Archer Heights
159,2013-04-01,128000,Archer Heights
160,2013-05-01,135000,Archer Heights
161,2013-06-01,128000,Archer Heights
162,2013-07-01,127500,Archer Heights
163,2013-08-01,100000,Archer Heights
164,2013-09-01,147000,Archer Heights
165,2013-10-01,150000,Archer Heights
166,2013-11-01,149500,Archer Heights
167,2013-12-01,157000,Archer Heights
168,2014-01-01,139500,Archer Heights
169,2014-02-01,157000,Archer Heights
170,2014-03-01,150000,Archer Heights
171,2014-04-01,152500,Archer Heights
172,2014-05-01,144500,Archer Heights
173,2014-06-01,139500,Archer Heights
174,2014-07-01,144500,Archer Heights
175,2014-08-01,140000,Archer Heights
176,2014-09-01,158250,Archer Heights
177,2014-10-01,157250,Archer Heights
178,2014-11-01,157250,Archer Heights
179,2014-12-01,155000,Archer Heights
180,2015-01-01,155000,Archer Heights
181,2015-02-01,155000,Archer Heights
182,2015-03-01,154000,Archer Heights
183,2015-04-01,152000,Archer Heights
184,2015-05-01,150000,Archer Heights
185,2015-06-01,162250,Archer Heights
186,2015-07-01,168000,Archer Heights
187,2015-08-01,170000,Archer Heights
188,2015-09-01,170000,Archer Heights
189,2015-10-01,178500,Archer Heights
190,2015-11-01,186000,Archer Heights
191,2015-12-01,180000,Archer Heights
192,2016-01-01,175000,Archer Heights
193,2016-02-01,165000,Archer Heights
194,2016-03-01,175000,Archer Heights
195,2016-04-01,175000,Archer Heights
196,2016-05-01,180000,Archer Heights
197,2016-06-01,153500,Archer Heights
198,2016-07-01,168000,Archer Heights
199,2016-08-01,163500,Archer Heights
200,2016-09-01,169000,Archer Heights
201,2016-10-01,178000,Archer Heights
202,2016-11-01,183000,Archer Heights
203,2016-12-01,183500,Archer Heights
204,2017-01-01,180000,Archer Heights
144,2012-01-01,232500,Armour Square
145,2012-02-01,230000,Armour Square
146,2012-03-01,195000,Armour Square
147,2012-04-01,160000,Armour Square
148,2012-05-01,272500,Armour Square
149,2012-06-01,301000,Armour Square
150,2012-07-01,363000,Armour Square
151,2012-08-01,301000,Armour Square
152,2012-09-01,310000,Armour Square
153,2012-10-01,282000,Armour Square
154,2012-11-01,282000,Armour Square
155,2012-12-01,266000,Armour Square
