id,name
2909,Galewood
2892,Calumet Heights
2943,Pilsen
2882,Austin
2928,Loop
2953,South Chicago
2890,Bucktown
2941,O'Hare
2945,Pullman
2918,Hyde Park
2880,Ashburn
2881,Auburn Gresham
2878,Archer Heights
2924,Lincoln Park
2904,Edison Park
2962,West Elsdon
2877,Albany Park
2965,West Lawn
2888,Bridgeport
2889,Brighton Park
2910,Garfield Ridge
2958,University Village / Little Italy
2896,Clearing
2932,Mount Greenwood
2884,Avondale
2955,South Shore
2926,Little Village
2956,Tri-Taylor
2898,DePaul
2899,Douglas
2922,Kenwood
2952,Scottsdale
2879,Armour Square
2946,Ravenswood
2894,Chatham
2886,Belmont Central
2942,Oakland
2950,Roseland
2925,Lincoln Square
2908,Gage Park
2931,Morgan Park
2936,Back of the Yards
2917,Humboldt Park
2911,Goose Island
2944,Portage Park
2963,West Englewood
2938,North Lawndale
2937,North Center
2913,Greater Grand Crossing
2901,East Garfield Park
2930,Montclare
2915,Hegewisch
2960,Washington Heights / Brainerd
2900,Dunning
2951,Sauganash
2906,Forest Glen
2947,Riverdale
2905,Englewood
2964,West Garfield Park
2912,Grand Boulevard
2966,West Pullman
2954,South Deering
2959,Uptown
2934,Near South Side
2939,North Park
2929,McKinley Park
2957,Ukranian Village
2920,Jefferson Park
2907,Fuller Park
2921,Jeffrey Manor
2895,Chicago Lawn
2916,Hermosa
2887,Beverly
2883,Avalon Park
2948,Rogers Park
2940,Norwood Park
2902,East Side
2919,Irving Park
2933,Near North Side
2897,Cragin
2968,West Town
2967,West Rogers Park
2903,Edgewater
2961,Washington Park
2893,Canaryville
2949,Roscoe Village
2969,Wicker Park
2891,Burnside
2923,Lakeview
2927,Logan Square
2914,Greektown
2970,Woodlawn
