date,value
2000-01-01,121500
2000-02-01,126000
2000-03-01,120500
2000-04-01,125500
2000-05-01,125500
2000-06-01,124750
2000-07-01,119500
2000-08-01,117750
2000-09-01,121250
2000-10-01,124000
2000-11-01,125000
2000-12-01,128000
2001-01-01,125000
2001-02-01,128000
2001-03-01,129500
2001-04-01,134000
2001-05-01,138000
2001-06-01,137000
2001-07-01,143000
2001-08-01,143000
2001-09-01,142500
2001-10-01,142000
2001-11-01,142000
2001-12-01,141000
2002-01-01,143500
2002-02-01,146000
2002-03-01,154000
2002-04-01,148000
2002-05-01,154500
2002-06-01,152000
2002-07-01,154000
2002-08-01,156000
2002-09-01,158000
2002-10-01,157000
2002-11-01,158000
2002-12-01,162000
2003-01-01,162500
2003-02-01,158500
2003-03-01,156250
2003-04-01,156250
2003-05-01,160000
2003-06-01,162500
2003-07-01,163750
2003-08-01,165000
2003-09-01,163500
2003-10-01,160750
2003-11-01,158000
2003-12-01,157500
2004-01-01,160000
2004-02-01,162750
2004-03-01,164500
2004-04-01,166000
2004-05-01,166500
2004-06-01,169000
2004-07-01,176000
2004-08-01,175500
2004-09-01,179000
2004-10-01,180500
2004-11-01,180000
2004-12-01,177000
2005-01-01,175000
2005-02-01,182500
2005-03-01,182750
2005-04-01,182000
2005-05-01,182250
2005-06-01,185500
2005-07-01,190000
2005-08-01,193750
2005-09-01,192000
2005-10-01,193000
2005-11-01,192500
2005-12-01,189000
2006-01-01,194000
2006-02-01,195000
2006-03-01,195000
2006-04-01,188500
2006-05-01,188000
2006-06-01,200500
2006-07-01,202500
2006-08-01,204500
2006-09-01,202000
2006-10-01,200000
2006-11-01,200000
2006-12-01,192000
2007-01-01,187000
2007-02-01,188000
2007-03-01,190000
2007-04-01,185000
2007-05-01,185000
2007-06-01,187500
2007-07-01,193500
2007-08-01,188000
2007-09-01,179000
2007-10-01,186500
2007-11-01,193500
2007-12-01,195500
2008-01-01,173500
2008-02-01,166250
2008-03-01,179500
2008-04-01,183000
2008-05-01,168500
2008-06-01,158000
2008-07-01,153000
2008-08-01,165000
2008-09-01,158000
2008-10-01,159000
2008-11-01,166750
2008-12-01,178250
2009-01-01,153000
2009-02-01,136000
2009-03-01,121000
2009-04-01,121000
2009-05-01,113000
2009-06-01,114000
2009-07-01,115500
2009-08-01,139000
2009-09-01,122500
2009-10-01,110000
2009-11-01,102000
2009-12-01,80000
2010-01-01,81500
2010-02-01,110000
2010-03-01,90000
2010-04-01,78000
2010-05-01,63250
2010-06-01,69500
2010-07-01,80500
2010-08-01,90000
2010-09-01,103000
2010-10-01,98500
2010-11-01,99000
2010-12-01,96750
2011-01-01,99000
2011-02-01,85000
2011-03-01,85000
2011-04-01,80250
2011-05-01,80000
2011-06-01,72500
2011-07-01,70000
2011-08-01,67000
2011-09-01,66000
2011-10-01,72500
2011-11-01,72500
2011-12-01,72750
2012-01-01,70000
2012-02-01,69500
2012-03-01,70000
2012-04-01,70000
2012-05-01,68500
2012-06-01,65000
2012-07-01,67500
2012-08-01,68000
2012-09-01,71500
2012-10-01,66000
2012-11-01,64500
2012-12-01,60500
2013-01-01,60500
2013-02-01,66000
2013-03-01,67500
2013-04-01,70000
2013-05-01,70000
2013-06-01,70000
2013-07-01,72500
2013-08-01,75000
2013-09-01,75500
2013-10-01,78000
2013-11-01,78500
2013-12-01,88000
2014-01-01,90000
2014-02-01,90000
2014-03-01,86200
2014-04-01,85000
2014-05-01,90250
2014-06-01,111500
2014-07-01,115000
2014-08-01,118250
2014-09-01,94250
2014-10-01,105000
2014-11-01,101000
2014-12-01,105000
2015-01-01,108500
2015-02-01,127500
2015-03-01,130000
2015-04-01,130000
2015-05-01,113250
2015-06-01,106500
2015-07-01,106000
2015-08-01,105000
2015-09-01,114000
2015-10-01,121500
2015-11-01,120250
2015-12-01,125000
2016-01-01,117000
2016-02-01,113000
2016-03-01,112500
2016-04-01,115000
2016-05-01,116000
2016-06-01,117000
2016-07-01,125000
2016-08-01,124500
2016-09-01,132000
2016-10-01,115000
2016-11-01,115000
2016-12-01,113500
2017-01-01,120000
