"Household Income in Chicago Community Areas
Note: All data are adjusted to year 2014 dollars.",,,,,,,
,1970,1980,1990,2000,2008-2012,2009-2013, 2010-2014 
1. Rogers Park,,,,,,,
Total,"  26,926 ","  26,245 ","  25,317 ","  25,503 ","  23,981 ","  24,004 ","  23,487 "
"Less than $10,000",,,"  4,294 ","  3,624 ","  3,062 ","  3,079 ","  2,946 "
"$10,000 to $14,999",,,"  3,369 ","  2,192 ","  1,969 ","  1,913 ","  1,753 "
"$15,000 to $19,999",,,"  2,732 ","  2,115 ","  1,546 ","  1,535 ","  1,903 "
"$20,000 to $24,999",,,"  2,806 ","  1,865 ","  1,515 ","  1,726 ","  1,900 "
"$25,000 to $29,999",,,"  2,394 ","  2,170 ","  1,515 ","  1,405 ","  1,334 "
"$30,000 to $34,999",,,"  2,079 ","  2,197 ","  1,298 ","  1,249 ","  1,100 "
"$35,000 to $39,999",,,"  1,758 ","  1,810 ","  1,271 ","  1,233 ","  1,377 "
"$40,000 to $44,999",,,"  1,254 ","  1,566 ","  1,065 ","  1,005 ","  1,035 "
"$45,000 to $49,999",,,  974 ,"  1,190 ",  964 ,"  1,012 ",  844 
"$50,000 to $59,999",,,"  1,474 ","  1,917 ","  1,692 ","  1,834 ","  1,794 "
"$60,000 to $74,999",,,  988 ,"  1,807 ","  2,334 ","  2,337 ","  2,042 "
"$75,000 to $99,999",,,  841 ,"  1,382 ","  1,925 ","  2,109 ","  2,092 "
"$100,000 to $124,999",,,  133 ,  785 ,"  1,295 ","  1,397 ","  1,207 "
"$125,000 to $149,999",,,  102 ,  331 ,"  1,285 ","  1,165 ","  1,002 "
"$150,000 to $199,999",,,  119 ,  291 ,  717 ,  615 ,  640 
"$200,000 or more",,,,  261 ,  528 ,  390 ,  518 
Median household income,"$48,252","$42,308","$44,078","$44,917","$40,414","$40,024","$37,779"
,,,,,,,
2. West Ridge,,,,,,,
Total,"  24,015 ","  24,962 ","  25,078 ","  25,536 ","  24,402 ","  24,169 ","  24,245 "
"Less than $10,000",,,"  3,494 ","  2,383 ","  1,873 ","  2,166 ","  2,052 "
"$10,000 to $14,999",,,"  1,953 ","  1,882 ","  1,519 ","  1,164 ","  1,101 "
"$15,000 to $19,999",,,"  2,210 ","  1,415 ","  1,601 ","  1,846 ","  1,831 "
"$20,000 to $24,999",,,"  2,254 ","  1,618 ","  1,288 ","  1,077 ","  1,253 "
"$25,000 to $29,999",,,"  2,010 ","  1,518 ","  1,441 ","  1,396 ",  999 
"$30,000 to $34,999",,,"  2,036 ","  1,786 ","  1,473 ","  1,201 ","  1,346 "
"$35,000 to $39,999",,,"  1,868 ","  1,832 ","  1,411 ","  1,283 ","  1,400 "
"$40,000 to $44,999",,,"  1,562 ","  1,340 ","  1,514 ","  1,394 ","  1,364 "
"$45,000 to $49,999",,,"  1,342 ","  1,478 ","  1,102 ","  1,361 ","  1,266 "
"$50,000 to $59,999",,,"  2,051 ","  2,417 ","  2,019 ","  1,836 ","  2,033 "
"$60,000 to $74,999",,,"  1,935 ","  2,739 ","  2,176 ","  2,329 ","  2,245 "
"$75,000 to $99,999",,,"  1,512 ","  2,436 ","  2,626 ","  2,671 ","  2,718 "
"$100,000 to $124,999",,,  450 ,"  1,238 ","  1,510 ","  1,694 ","  1,906 "
"$125,000 to $149,999",,,  160 ,  583 ,"  1,148 ","  1,029 ","  1,018 "
"$150,000 to $199,999",,,  241 ,  420 ,"  1,089 ","  1,019 ","  1,042 "
"$200,000 or more",,,,  451 ,  612 ,  703 ,  671 
Median household income,"$69,354","$62,327","$57,920","$58,479","$46,746","$47,684","$47,941"
,,,,,,,
3. Uptown,,,,,,,
Total,"  33,116 ","  28,259 ","  28,094 ","  30,676 ","  29,441 ","  29,203 ","  29,295 "
"Less than $10,000",,,"  8,554 ","  6,147 ","  5,197 ","  4,934 ","  4,816 "
"$10,000 to $14,999",,,"  3,002 ","  2,253 ","  1,997 ","  2,285 ","  2,178 "
"$15,000 to $19,999",,,"  2,627 ","  2,100 ","  2,042 ","  1,835 ","  1,846 "
"$20,000 to $24,999",,,"  2,371 ","  1,824 ","  1,304 ","  1,378 ","  1,480 "
"$25,000 to $29,999",,,"  2,450 ","  1,927 ","  1,160 ","  1,152 ","  1,210 "
"$30,000 to $34,999",,,"  1,933 ","  2,163 ","  1,222 ","  1,224 ","  1,179 "
"$35,000 to $39,999",,,"  1,340 ","  1,538 ","  1,052 ",  989 ,"  1,056 "
"$40,000 to $44,999",,,  986 ,"  1,438 ","  1,062 ",  908 ,"  1,029 "
"$45,000 to $49,999",,,  774 ,"  1,198 ",  896 ,  896 ,  883 
"$50,000 to $59,999",,,"  1,393 ","  2,401 ","  2,088 ","  1,988 ","  1,913 "
"$60,000 to $74,999",,,"  1,170 ","  2,470 ","  2,069 ","  2,161 ","  2,162 "
