date,value
2000-01-01,309000
2000-02-01,314000
2000-03-01,322500
2000-04-01,331250
2000-05-01,328000
2000-06-01,300000
2000-07-01,299500
2000-08-01,310000
2000-09-01,321500
2000-10-01,330000
2000-11-01,328500
2000-12-01,340000
2001-01-01,363500
2001-02-01,357000
2001-03-01,340000
2001-04-01,335000
2001-05-01,339000
2001-06-01,345000
2001-07-01,359000
2001-08-01,340000
2001-09-01,337500
2001-10-01,328000
2001-11-01,347500
2001-12-01,350000
2002-01-01,385000
2002-02-01,385000
2002-03-01,350000
2002-04-01,338250
2002-05-01,340250
2002-06-01,350000
2002-07-01,359000
2002-08-01,369000
2002-09-01,380250
2002-10-01,374000
2002-11-01,375000
2002-12-01,380000
2003-01-01,386250
2003-02-01,390000
2003-03-01,395000
2003-04-01,397500
2003-05-01,407500
2003-06-01,403500
2003-07-01,409750
2003-08-01,367000
2003-09-01,365000
2003-10-01,360000
2003-11-01,378500
2003-12-01,390250
2004-01-01,381000
2004-02-01,408000
2004-03-01,395000
2004-04-01,391000
2004-05-01,385250
2004-06-01,392000
2004-07-01,422000
2004-08-01,417500
2004-09-01,430000
2004-10-01,430000
2004-11-01,425000
2004-12-01,397000
2005-01-01,391500
2005-02-01,390500
2005-03-01,399000
2005-04-01,385000
2005-05-01,420000
2005-06-01,410000
2005-07-01,441750
2005-08-01,439500
2005-09-01,471500
2005-10-01,455000
2005-11-01,425500
2005-12-01,425500
2006-01-01,435000
2006-02-01,540250
2006-03-01,454000
2006-04-01,451500
2006-05-01,419500
2006-06-01,455000
2006-07-01,460000
2006-08-01,470000
2006-09-01,470750
2006-10-01,440000
2006-11-01,436750
2006-12-01,440000
2007-01-01,529250
2007-02-01,559250
2007-03-01,515500
2007-04-01,485000
2007-05-01,454000
2007-06-01,415000
2007-07-01,430250
2007-08-01,435000
2007-09-01,460000
2007-10-01,460000
2007-11-01,452750
2007-12-01,452500
2008-01-01,500000
2008-02-01,516500
2008-03-01,506500
2008-04-01,505000
2008-05-01,451250
2008-06-01,441000
2008-07-01,441000
2008-08-01,492000
2008-09-01,562500
2008-10-01,521000
2008-11-01,488750
2008-12-01,460000
2009-01-01,470000
2009-02-01,437500
2009-03-01,427500
2009-04-01,409250
2009-05-01,383500
2009-06-01,419000
2009-07-01,439250
2009-08-01,425000
2009-09-01,420000
2009-10-01,418000
2009-11-01,401000
2009-12-01,400000
2010-01-01,395000
2010-02-01,415000
2010-03-01,416500
2010-04-01,440000
2010-05-01,440000
2010-06-01,464500
2010-07-01,520000
2010-08-01,460000
2010-09-01,425000
2010-10-01,412500
2010-11-01,426250
2010-12-01,460000
2011-01-01,460000
2011-02-01,460000
2011-03-01,430000
2011-04-01,406500
2011-05-01,390500
2011-06-01,380000
2011-07-01,380750
2011-08-01,402500
2011-09-01,450000
2011-10-01,438000
2011-11-01,444250
2011-12-01,450000
2012-01-01,512500
2012-02-01,455000
2012-03-01,515000
2012-04-01,366000
2012-05-01,385000
2012-06-01,390500
2012-07-01,490000
2012-08-01,515000
2012-09-01,485000
2012-10-01,428000
2012-11-01,422500
2012-12-01,395000
2013-01-01,428500
2013-02-01,437000
2013-03-01,452000
2013-04-01,452000
2013-05-01,452000
2013-06-01,493500
2013-07-01,492000
2013-08-01,485000
2013-09-01,452500
2013-10-01,439000
2013-11-01,420000
2013-12-01,423500
2014-01-01,543500
2014-02-01,567500
2014-03-01,534750
2014-04-01,475000
2014-05-01,426000
2014-06-01,422500
2014-07-01,407000
2014-08-01,420500
2014-09-01,462000
2014-10-01,547500
2014-11-01,584000
2014-12-01,540000
2015-01-01,545000
2015-02-01,443750
2015-03-01,470000
2015-04-01,430000
2015-05-01,456000
2015-06-01,506000
2015-07-01,456000
2015-08-01,450000
2015-09-01,434500
2015-10-01,445000
2015-11-01,462000
2015-12-01,519250
2016-01-01,482500
2016-02-01,438250
2016-03-01,446500
2016-04-01,465500
2016-05-01,466000
2016-06-01,458250
2016-07-01,449500
2016-08-01,460500
2016-09-01,495000
2016-10-01,487500
2016-11-01,515000
2016-12-01,550000
2017-01-01,504000
2017-02-01,457500
