Average Sale Price,Neighborhood,Median Sale Price,Average Listing Price,Price Per Sqft,Trulia Popularity
351800,Greektown,312500,3280000,-,89
657383,DePaul,-,1024818,464,3
599500,North Center,485000,825501,443,30
511612,Roscoe Village,439000,729357,383,24
479285,Lakeview,500000,629072,336,76
428716,Sauganash,387500,616851,274,36
550833,Forest Glen,550000,549578,290,74
396740,Ravenswood,292500,531831,410,9
414688,West Town,370000,478430,459,15
292485,Irving Park,255000,437041,312,11
319266,Edison Park,305000,425057,323,62
360695,Logan Square,325000,410174,330,7
334441,Bridgeport,312500,385106,246,25
311916,North Park,300000,360094,234,56
283375,Norwood Park,280000,338123,240,28
291981,Portage Park,285000,312814,261,12
252934,Edgewater,225000,304752,322,5
186982,Hyde Park,160000,293820,310,18
210202,Belmont Central,224500,260634,174,40
-,Riverdale,-,250000,-,91
275222,Armour Square,270000,242150,228,85
176944,West Rogers Park,133500,230024,235,13
194687,Douglas,140000,225902,194,44
260977,Galewood,272500,221752,188,70
181636,Archer Heights,180000,219280,160,81
208162,Mount Greenwood,210000,216095,194,51
151444,Brighton Park,160000,202573,148,66
223653,McKinley Park,-,199889,192,67
222055,Hermosa,228000,184823,188,57
170439,West Lawn,170000,174079,151,64
160342,Ashburn,169000,170326,149,48
174888,Morgan Park,175000,137638,128,50
137769,Woodlawn,150000,133737,120,46
146625,Chatham,160500,123089,111,45
100187,Chicago Lawn,98000,122421,88,35
135208,Washington Heights / Brainerd,146250,114151,123,47
159730,Avalon Park,172000,105742,129,73
130222,East Garfield Park,157000,101053,96,52
116946,Austin,109500,98299,73,10
123900,Burnside,145000,84283,100,90
104222,South Chicago,89000,77780,77,61
55998,Jeffrey Manor,29000,76670,53,87
92911,West Pullman,97000,66718,88,63
45250,West Garfield Park,50000,58782,43,68
100611,North Lawndale,89000,42805,71,54
45000,Fuller Park,25000,29822,30,86
-,Near West Side,-,-,-,-
-,University Village,-,-,-,-
-,Wrigleyville,-,-,-,-
461087,Lincoln Park,387500,1165799,530,2
394605,Near North Side,335000,980084,441,1
432215,Bucktown,409000,753243,330,8
566900,Wicker Park,518750,656380,520,17
315788,Loop,289750,617392,-,4
466282,Ukranian Village,490000,614894,457,49
427720,Goose Island,399000,542104,360,26
376574,Near South Side,350000,483060,326,14
295125,Kenwood,230000,440741,238,23
253964,Lincoln Square,206000,426058,240,41
374125,Avondale,366500,421127,280,19
350619,University Village / Little Italy,308000,396833,270,31
217300,Pilsen,197500,379349,202,37
342500,Oakland,342500,346258,163,82
288628,Jefferson Park,285000,335875,240,43
302627,Albany Park,284000,308864,274,27
281287,Beverly,290750,303138,184,16
247461,Dunning,245000,285919,207,22
155000,Canaryville,155000,256362,167,84
240500,Cragin,238000,249571,195,58
244055,Tri-Taylor,-,239166,183,59
229805,Garfield Ridge,215000,229205,205,34
182785,Grand Boulevard,152500,223537,203,32
223258,Montclare,228000,220852,201,71
199022,Clearing,208500,216536,189,42
243196,Uptown,247500,215910,273,6
171901,Scottsdale,171500,200182,154,78
146522,O'Hare,-,190295,211,-
203589,Rogers Park,173750,178368,210,21
163172,West Elsdon,156000,173421,168,83
134311,Gage Park,130000,143825,123,75
123468,Hegewisch,129250,135376,100,80
112833,East Side,125000,132507,108,77
124500,South Shore,88500,122592,99,29
158769,Humboldt Park,140000,117679,140,20
134238,Auburn Gresham,150000,110876,103,33
149538,Calumet Heights,158250,101469,119,69
112133,Greater Grand Crossing,90000,98306,94,55
78722,Pullman,83000,95777,65,79
79928,Little Village,67500,80231,93,38
97903,Roseland,86000,77738,83,39
65833,South Deering,72000,69645,63,88
84900,Washington Park,82500,65637,-,72
67611,Back of the Yards,-,56575,53,65
28625,West Englewood,28250,37945,25,60
213750,Englewood,69500,29062,107,53
-,New City,-,-,-,-
-,Washington Heights - Brainerd,-,-,-,-
